#Constant Temperature fit results; RIPL III discrete level library; December 2021 
#  Z   A El         T        dT        U0       dU0NlevNmax  N0  Nc     Umax       Uc     Chi Fit Flag NoX  Xm  EX   sigma
#               [MeV]     [MeV]     [MeV]     [MeV]                    [MeV]    [MeV]                         [MeV]     
#-------------------------------------------------------------------------------------------------------------------------
  10  25 Ne   1.92782   0.26476   0.00000   1.00000   9   1   1   1  0.00000  0.00000                  0             0.000
  10  26 Ne   1.86239   0.24402   0.00000   1.00000   7   1   1   2  0.00000  2.01800                  0             0.000
  10  27 Ne   1.80602   0.22575   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  10  28 Ne   1.75694   0.21125   0.00000   1.00000   4   1   1   2  0.00000  1.30400                  0             0.000
  10  29 Ne   1.71363   0.20166   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  10  30 Ne   1.67470   0.19741   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  10  31 Ne   1.63890   0.19795   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  32 Ne   1.60503   0.20168   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  10  33 Ne   1.57199   0.20634   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  34 Ne   1.53873   0.20949   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  17 Na   3.11648   0.58371   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  18 Na   2.86808   0.48633   0.00000   1.00000   5   1   1   5  0.00000  0.83000                  0             0.000
  11  19 Na   2.65787   0.42406   0.00000   1.00000  10   1   1   1  0.00000  0.00000                  0             0.000
  11  20 Na   2.47973   0.38369  -3.09161   0.94038  25  19   7   8  4.15000  2.05700  4.996E-02       0             1.894
  11  21 Na   2.32886   0.35513  -1.21428   0.97325  63  25   9  11  6.34100  4.29430  5.642E-03 *     0             2.101
  11  22 Na   2.20155   0.33155  -2.15016   1.11110 154  41  19  12  5.99500  3.05940  3.466E-03 *     0             2.236
  11  23 Na   2.09460   0.30911  -0.45016   1.06238 309  78   7  16  8.66500  5.76603  4.783E-03 *     0             2.506
  11  24 Na   2.00439   0.28675  -2.67029   1.03717 139  76  14   4  5.96737  1.34146  4.450E-03 *     0             2.137
  11  25 Na   1.92782   0.26476  -0.86017   0.79646  43  30  13   4  5.74600  2.20200  4.789E-03 *     0             1.692
  11  26 Na   1.86239   0.24402  -2.99494   0.71634  45  25  14   4  2.93780  0.40670  1.115E-02 *     0             2.189
  11  27 Na   1.80602   0.22575  -1.07756   0.56281  32  20   7   1  4.52540  0.00000  1.105E-02 *     0             2.216
  11  28 Na   1.75694   0.21125   0.00000   1.00000   9   1   1   1  0.00000  0.00000                  0             0.000
  11  29 Na   1.71363   0.20166   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
  11  30 Na   1.67470   0.19741   0.00000   1.00000   7   1   1   2  0.00000  0.15062                  0             0.000
  11  31 Na   1.63890   0.19795   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  11  32 Na   1.60503   0.20168   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  11  33 Na   1.57199   0.20634   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  11  34 Na   1.53873   0.20949   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  35 Na   1.50426   0.20889   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  11  36 Na   1.46798   0.20309   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  37 Na   1.43040   0.19268   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  38 Na   1.39226   0.17902   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  39 Na   1.35425   0.16369   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  19 Mg   2.65787   0.42406   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
  12  20 Mg   2.47973   0.38369   0.00000   1.00000   4   1   1   2  0.00000  1.59800                  0             0.000
  12  21 Mg   2.32886   0.35513  -1.79094   0.84433  24  16   7   5  4.53800  1.98900  4.162E-02       0             1.696
  12  22 Mg   2.20155   0.33155  -0.07670   1.03073  93  47   7   5  8.39800  5.03540  1.035E-02 *     0             2.160
  12  23 Mg   2.09460   0.30911  -0.54403   1.01973 123  65   7   6  8.19300  2.77120  5.881E-03 *     0             2.641
  12  24 Mg   2.00439   0.28675   2.98760   0.78692 186  28   7  21  9.53248  9.28422  5.537E-03 *     0             2.418
  12  25 Mg   1.92782   0.26476  -0.71844   0.74009 135  33   7  16  6.16900  4.71160  9.905E-03 *     0             2.579
  12  26 Mg   1.86239   0.24402   0.35329   0.76044 215  51   7   3  7.95000  2.93833  9.083E-03 *     0             2.363
  12  27 Mg   1.80602   0.22575  -0.30625   0.66654  55  35   9   4  6.16100  1.94023  5.622E-03 *     0             1.987
  12  28 Mg   1.75694   0.21125   1.22832   0.49759  25  15   7   8  5.91690  5.17130  4.256E-02       0             1.549
  12  29 Mg   1.71363   0.20166   0.00000   1.00000  14   1   1   1  0.00000  0.00000                  0             0.000
  12  30 Mg   1.67470   0.19741   0.00000   1.00000  18   1   1   3  0.00000  1.78820                  0             0.000
  12  31 Mg   1.63890   0.19795   0.00000   1.00000  13   1   1   1  0.00000  0.00000                  0             0.000
  12  32 Mg   1.60503   0.20168   0.00000   1.00000  15   1   1   4  0.00000  2.32230                  0             0.000
  12  33 Mg   1.57199   0.20634   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
  12  34 Mg   1.53873   0.20949   0.00000   1.00000   3   1   1   2  0.00000  0.66000                  0             0.000
  12  35 Mg   1.50426   0.20889   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  36 Mg   1.46798   0.20309   0.00000   1.00000   3   1   1   2  0.00000  0.66200                  0             0.000
  12  37 Mg   1.43040   0.19268   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  38 Mg   1.39226   0.17902   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  12  39 Mg   1.35425   0.16369   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  40 Mg   1.31702   0.14827   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  12  41 Mg   1.28111   0.13430   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  21 Al   2.32886   0.35513   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
